"","coverage","setup","elements","ground_truth","lower_CI_mean","upper_CI_mean","post_mean_mean"
"1",0.93452380952381,11,1,0.508999950822004,0.132498026573569,0.674789838636087,0.413195617670496
"2",0.955357142857143,11,2,0.433514104218152,0.0880131707043717,0.634726817247536,0.370476472032237
"3",0.958333333333333,11,3,0.44610946809294,0.10900666969977,0.650789092579972,0.390633293309956
"4",0.950396825396825,11,4,0.336244187301588,0.0245345752079099,0.582123839728521,0.312486909966983
"5",0.963293650793651,11,5,0.383230148814953,0.0702522911268348,0.61652696696678,0.353449404683413
"6",0.955357142857143,11,6,0.421488355167394,0.103475574589926,0.639867483232476,0.382894980119891
"7",0.958333333333333,11,7,0.229166453831188,-0.0508046594593188,0.517469160333165,0.243205687944624
"8",0.964285714285714,11,8,0.307203212582615,0.00915293939566146,0.57056705753278,0.299626909523413
"9",0.962301587301587,11,9,0.383230148814953,0.0733390867278928,0.625325937901717,0.358714693668808
"10",0.956349206349206,11,10,0.44610946809294,0.120575088376603,0.656556823055182,0.398490560831442
"11",0.938492063492063,11,11,0.126126126126126,-0.120921639310079,0.452912487995759,0.174268010571377
"12",0.966269841269841,11,12,0.229166453831188,-0.0527388555837738,0.516214688698943,0.240733932310929
"13",0.961309523809524,11,13,0.336244187301588,0.0285766167789543,0.588135703370255,0.317073973166263
"14",0.949404761904762,11,14,0.433514104218152,0.0923160346198104,0.63542704727105,0.373042509108165
"15",0.941468253968254,11,15,0.508999950822004,0.140270991710359,0.682597599966216,0.422971352180195
"16",0.898809523809524,14,1,0.360934182590233,-0.0584340693263131,0.548263442998289,0.23749171712288
"17",0.96031746031746,14,2,0.104033970276008,-0.204321868517577,0.402634103387351,0.100102950466817
"18",0.964285714285714,14,3,0.104033970276008,-0.206417727816262,0.40011306962851,0.0972805273440098
"19",0.967261904761905,14,4,0.104033970276008,-0.206855382088175,0.39776129141265,0.0975221741589558
"20",0.969246031746032,14,5,0.104033970276008,-0.204902785620416,0.401325557592169,0.0974587721343144
"21",0.882936507936508,14,6,0.360934182590233,-0.0698601155778004,0.534589364417813,0.225180113997927
"22",0.95734126984127,14,7,0.104033970276008,-0.185902729552351,0.417299702548003,0.116115956093936
"23",0.95734126984127,14,8,0.104033970276008,-0.188629306894981,0.412476358361276,0.1114986898955
"24",0.965277777777778,14,9,0.104033970276008,-0.197746219874791,0.405746524615004,0.104442117154506
"25",0.965277777777778,14,10,0.104033970276008,-0.197623687197272,0.405896539494434,0.104581113089648
"26",0.95734126984127,14,11,0.104033970276008,-0.199321297751253,0.407827842221576,0.104992558188396
"27",0.961309523809524,14,12,0.104033970276008,-0.198928855718733,0.402093957623818,0.102364840458345
"28",0.972222222222222,14,13,0.104033970276008,-0.20617539083637,0.39868811074706,0.0975302648892341
"29",0.973214285714286,14,14,0.104033970276008,-0.199672665620464,0.402362002669264,0.100536192646442
"30",0.871031746031746,14,15,0.360934182590233,-0.0727475132394428,0.531002500315153,0.22130417968028
